date,home_team,away_team,home_att,away_att,home_mid,away_mid,home_def,away_def,home_score,away_score,home_rank,away_rank,home_rankpoint,away_rankpoint,tournament,city,country,neutral
2018-09-06,Germany,France,84,82,85,85,85,82,0,0,15,1,1561,1726,UEFA Nations League,Munich,Germany,FALSE
2018-09-06,Wales,Republic of Ireland,82,75,71,74,77,75,4,1,19,29,1536,1484,UEFA Nations League,Cardiff,Wales,FALSE
2018-09-06,Slovenia,Bulgaria,72,70,76,69,72,67,1,2,55,47,1392,1416,UEFA Nations League,Ljubljana,Slovenia,FALSE
2018-09-06,Austria,Sweden,80,76,77,75,75,75,2,0,23,13,1502,1565,Friendly,Vienna,Austria,FALSE
2018-09-06,Netherlands,Peru,79,80,80,77,80,75,2,1,17,20,1540,1535,Friendly,Amsterdam,Netherlands,FALSE
2018-09-06,Portugal,Croatia,85,80,82,82,80,78,1,1,7,4,1599,1643,Friendly,Faro-Loulé,Portugal,FALSE
2018-09-07,Italy,Poland,85,82,81,76,85,75,1,1,21,18,1532,1538,UEFA Nations League,Bologna,Italy,FALSE
2018-09-07,Turkey,Russia,78,80,77,78,74,76,1,2,38,49,1455,1410,UEFA Nations League,Trabzon,Turkey,FALSE
2018-09-07,South Korea,Costa Rica,74,69,74,73,70,73,2,0,57,32,1387,1471,Friendly,Goyang,South Korea,FALSE
2018-09-07,Mexico,Uruguay,79,86,79,76,75,79,1,4,16,5,1560,1627,Friendly,Houston,United States,TRUE
2018-09-07,Scotland,Belgium,75,86,74,83,74,85,0,4,40,2,1444,1723,Friendly,Glasgow,Scotland,FALSE
2018-09-07,United States,Brazil,76,86,76,83,74,85,0,2,22,3,1508,1657,Friendly,East Rutherford,United States,FALSE
2018-09-07,Venezuela,Colombia,77,81,73,77,70,78,1,2,31,14,1476,1563,Friendly,Miami Gardens,United States,TRUE
2018-09-08,Switzerland,Iceland,74,73,77,74,78,69,6,0,8,32,1597,1471,UEFA Nations League,St. Gallen,Switzerland,FALSE
2018-09-08,England,Spain,84,84,81,86,81,85,1,2,6,9,1615,1580,UEFA Nations League,London,England,FALSE
2018-09-08,Finland,Hungary,71,73,69,69,66,71,1,0,62,51,1364,1409,UEFA Nations League,Tampere,Finland,FALSE
2018-09-09,France,Netherlands,82,79,85,80,82,80,2,1,1,17,1726,1540,UEFA Nations League,Paris,France,FALSE
2018-09-09,Denmark,Wales,76,82,79,71,75,77,2,0,9,19,1580,1536,UEFA Nations League,Aarhus,Denmark,FALSE
2018-09-09,Bulgaria,Norway,70,74,69,74,67,73,1,0,47,53,1416,1406,UEFA Nations League,Sofia,Bulgaria,FALSE
2018-09-09,Germany,Peru,84,73,85,72,85,71,2,1,15,20,1561,1535,Friendly,Sinsheim,Germany,FALSE
2018-09-10,Portugal,Italy,85,85,82,81,80,85,1,0,7,21,1599,1532,UEFA Nations League,Lisbon,Portugal,FALSE
2018-09-10,Sweden,Turkey,76,78,75,77,75,74,2,3,13,38,1565,1455,UEFA Nations League,Stockholm,Sweden,FALSE
2018-09-10,Serbia,Romania,75,72,79,72,76,70,2,2,36,28,1459,1490,UEFA Nations League,Belgrade,Serbia,FALSE
2018-09-10,Russia,Czech Republic,80,76,78,74,76,73,5,1,49,44,1410,1430,Friendly,Rostov-on-Don,Russia,FALSE
2018-09-10,Saudi Arabia,Bolivia,73,69,72,67,73,66,2,2,70,59,1336,1378,Friendly,Riyadh,Saudi Arabia,FALSE
2018-09-11,Iceland,Belgium,73,86,74,83,69,85,0,3,32,2,1471,1723,UEFA Nations League,Reykjavík,Iceland,FALSE
2018-09-11,Spain,Croatia,84,80,86,82,85,78,6,0,9,4,1580,1643,UEFA Nations League,Elche,Spain,FALSE
2018-09-11,Hungary,Greece,73,78,69,74,71,77,2,1,51,42,1409,1436,UEFA Nations League,Budapest,Hungary,FALSE
2018-09-11,Colombia,Argentina,81,87,77,80,78,80,0,0,14,11,1563,1574,Friendly,East Rutherford,United States,TRUE
2018-09-11,England,Switzerland,84,74,81,77,81,78,1,0,6,8,1615,1597,Friendly,London,England,FALSE
2018-09-11,Japan,Costa Rica,76,69,77,73,74,73,3,0,55,32,1392,1471,Kirin Challenge Cup,Suita,Japan,FALSE
2018-09-11,South Korea,Chile,74,77,74,80,70,75,0,0,57,12,1387,1570,Friendly,Suwon,South Korea,FALSE
2018-09-11,Panama,Venezuela,68,77,68,73,68,70,0,2,69,31,1343,1476,Friendly,Panama City,Panama,FALSE
2018-09-11,Poland,Republic of Ireland,82,75,76,74,75,75,1,1,18,29,1538,1484,Friendly,Wrocław,Poland,FALSE
2018-09-11,United States,Mexico,76,79,76,79,74,75,1,0,22,16,1508,1560,Friendly,Nashville,United States,FALSE
2018-10-11,Poland,Portugal,81,85,75,82,72,80,2,3,18,7,1537,1606,UEFA Nations League,Chorzów,Poland,FALSE
2018-10-11,Russia,Sweden,79,78,77,75,76,76,0,0,46,15,1423,1550,UEFA Nations League,Kaliningrad,Russia,FALSE
2018-10-11,France,Iceland,82,75,86,73,82,71,2,2,1,36,1729,1461,Friendly,Guingamp,France,FALSE
2018-10-11,United States,Colombia,73,82,73,80,74,77,2,4,22,14,1510,1567,Friendly,Tampa,United States,FALSE
2018-10-11,Wales,Spain,82,84,73,86,73,86,1,4,19,9,1536,1597,Friendly,Cardiff,Wales,FALSE
2018-10-12,Belgium,Switzerland,86,73,83,77,85,77,2,1,1,8,1729,1598,UEFA Nations League,Brussels,Belgium,FALSE
2018-10-12,Austria,Northern Ireland,79,70,78,71,76,72,1,0,24,28,1499,1487,UEFA Nations League,Vienna,Austria,FALSE
2018-10-12,Greece,Hungary,78,71,74,71,78,73,1,0,42,49,1433,1409,UEFA Nations League,Athens,Greece,FALSE
2018-10-12,Peru,Chile,76,82,74,78,70,73,3,0,21,12,1525,1568,Friendly,Miami Gardens,United States,TRUE
2018-10-13,Netherlands,Germany,80,84,80,85,81,84,3,0,17,12,1540,1568,UEFA Nations League,Amsterdam,Netherlands,FALSE
2018-10-13,Republic of Ireland,Denmark,73,77,73,79,75,77,0,0,30,10,1478,1581,UEFA Nations League,Dublin,Republic of Ireland,FALSE
2018-10-13,Norway,Slovenia,75,72,75,77,73,73,1,0,52,61,1405,1376,UEFA Nations League,Oslo,Norway,FALSE
2018-10-14,Poland,Italy,81,84,75,81,72,83,0,1,18,20,1537,1526,UEFA Nations League,Chorzów,Poland,FALSE
2018-10-14,Russia,Turkey,79,78,77,77,76,74,2,0,46,38,1423,1456,UEFA Nations League,Sochi,Russia,FALSE
2018-10-14,Scotland,Portugal,74,85,75,82,74,80,1,3,39,7,1448,1606,Friendly,Glasgow,Scotland,FALSE
2018-10-15,Iceland,Switzerland,75,73,73,77,71,77,1,2,36,8,1461,1598,UEFA Nations League,Reykjavík,Iceland,FALSE
2018-10-15,Spain,England,84,84,86,82,86,81,2,3,9,6,1597,1612,UEFA Nations League,Seville,Spain,FALSE
2018-10-15,Finland,Greece,70,78,69,74,66,78,2,0,58,42,1378,1433,UEFA Nations League,Tampere,Finland,FALSE
2018-10-16,France,Germany,82,84,86,85,82,84,2,1,1,12,1729,1568,UEFA Nations League,Paris,France,FALSE
2018-10-16,Republic of Ireland,Wales,73,82,73,73,75,73,0,1,30,19,1478,1536,UEFA Nations League,Dublin,Republic of Ireland,FALSE
2018-10-16,Norway,Bulgaria,75,69,75,63,73,67,1,0,52,44,1405,1430,UEFA Nations League,Oslo,Norway,FALSE
2018-10-16,Belgium,Netherlands,86,80,83,80,85,81,1,1,1,17,1729,1540,Friendly,Brussels,Belgium,FALSE
2018-10-16,Denmark,Austria,77,79,79,78,77,76,2,0,10,24,1581,1499,Friendly,Herning,Denmark,FALSE
2018-10-16,Mexico,Chile,79,82,76,78,74,73,0,1,15,12,1550,1568,Friendly,Querétaro,Mexico,FALSE
2018-10-16,United States,Peru,73,76,73,74,74,70,1,1,22,21,1510,1525,Friendly,East Hartford,United States,FALSE
2018-10-16,Argentina,Brazil,87,84,81,80,80,80,0,1,11,3,1575,1663,Superclásico de las Américas,Jeddah,Saudi Arabia,TRUE
2018-11-15,Belgium,Iceland,86,73,83,74,85,71,2,0,1,36,1733,1458,UEFA Nations League,Brussels,Belgium,FALSE
2018-11-15,Greece,Finland,77,70,74,69,78,66,1,0,42,56,1432,1392,UEFA Nations League,Athens,Greece,FALSE
2018-11-15,England,United States,85,73,81,73,81,74,3,0,5,23,1619,1506,Friendly,London,England,FALSE
2018-11-15,Germany,Russia,84,79,85,77,83,76,3,0,14,41,1555,1433,Friendly,Leipzig,Germany,FALSE
2018-11-15,Peru,Ecuador,76,74,74,70,69,69,0,2,20,61,1530,1371,Friendly,Lima,Peru,FALSE
2018-11-15,Poland,Czech Republic,81,73,75,74,73,74,0,1,21,48,1523,1420,Friendly,Gdańsk,Poland,FALSE
2018-11-15,Republic of Ireland,Northern Ireland,73,69,72,71,75,72,0,0,33,34,1473,1472,Friendly,Dublin,Republic of Ireland,FALSE
2018-11-16,Netherlands,France,81,82,80,86,81,82,2,0,15,2,1550,1732,UEFA Nations League,Rotterdam,Netherlands,FALSE
2018-11-16,Wales,Denmark,82,77,73,80,73,77,1,2,18,10,1538,1584,UEFA Nations League,Cardiff,Wales,FALSE
2018-11-16,Slovenia,Norway,72,75,78,75,73,73,1,1,62,48,1367,1420,UEFA Nations League,Ljubljana,Slovenia,FALSE
2018-11-16,Argentina,Mexico,87,78,80,75,79,75,2,0,12,16,1573,1549,Friendly,Córdoba,Argentina,FALSE
2018-11-16,Brazil,Uruguay,84,85,80,78,80,82,1,0,3,6,1669,1617,Friendly,London,England,TRUE
2018-11-17,Italy,Portugal,83,86,82,82,83,81,0,0,19,7,1533,1616,UEFA Nations League,Milan,Italy,FALSE
2018-11-17,Turkey,Sweden,78,78,77,75,74,76,0,1,38,17,1449,1548,UEFA Nations League,Konya,Turkey,FALSE
2018-11-18,Switzerland,Belgium,74,86,77,83,78,85,5,2,8,1,1598,1733,UEFA Nations League,Lucerne,Switzerland,FALSE
2018-11-18,Northern Ireland,Austria,69,80,71,77,72,76,1,2,34,24,1472,1502,UEFA Nations League,Belfast,Northern Ireland,FALSE
2018-11-18,Hungary,Finland,73,70,72,69,74,66,2,0,55,56,1400,1392,UEFA Nations League,Budapest,Hungary,FALSE
2018-11-19,Germany,Netherlands,84,81,85,80,83,81,2,2,14,15,1555,1550,UEFA Nations League,Gelsenkirchen,Germany,FALSE
2018-11-19,Denmark,Republic of Ireland,77,73,80,72,77,75,0,0,10,33,1584,1473,UEFA Nations League,Aarhus,Denmark,FALSE
2018-11-19,Bulgaria,Slovenia,69,72,63,78,67,73,1,1,45,62,1428,1367,UEFA Nations League,Sofia,Bulgaria,FALSE
2018-11-20,Portugal,Poland,86,81,82,75,81,73,1,1,7,21,1616,1523,UEFA Nations League,Guimarães,Portugal,FALSE
2018-11-20,Sweden,Russia,78,79,75,77,76,76,2,0,17,41,1548,1433,UEFA Nations League,Stockholm,Sweden,FALSE
2018-11-20,Argentina,Mexico,87,78,80,75,79,75,2,0,12,16,1573,1549,Friendly,Mendoza,Argentina,FALSE
2018-11-20,Brazil,Cameroon,84,80,80,72,80,73,1,0,3,51,1669,1408,Friendly,London,England,TRUE
2018-11-20,France,Uruguay,82,85,86,78,82,82,1,0,2,6,1732,1617,Friendly,Paris,France,FALSE
2018-11-20,Italy,United States,83,73,82,73,83,74,1,0,19,23,1533,1506,Friendly,Genk,Belgium,TRUE
2018-11-20,South Africa,Paraguay,71,75,70,74,70,72,1,1,73,31,1321,1477,Friendly,Durban,South Africa,FALSE
